passer_name,team_name,n_passes,mean_tiv,total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,circulatory,destabilising,line_breaking,space_expanding,dominant_pass_type,player_label
Moon-hwan Kim,South Korea,147,0.10710569444458976,15.744537083354695,1.3741496598639455,1.716172982130349,23.521223315708063,0.05442176870748299,0.047619047619047616,0.027210884353741496,0.0,0.3333333333333333,0.29931972789115646,0.19727891156462585,0.17006802721088435,circulatory,Moon-hwan Kim (South Korea)
Yassine Meriah,Tunisia,117,0.1334433404858343,15.612870836842614,1.0683760683760684,2.017574374484957,23.76921286790987,0.042735042735042736,0.05982905982905983,0.008547008547008548,0.0,0.37606837606837606,0.27350427350427353,0.15384615384615385,0.19658119658119658,circulatory,Yassine Meriah (Tunisia)
Piero Hincapie,Ecuador,164,0.09461416443712585,15.51672296768864,1.079268292682927,1.7570085694868411,19.222316964246126,0.04878048780487805,0.018292682926829267,0.024390243902439025,0.0,0.4573170731707317,0.2621951219512195,0.15853658536585366,0.12195121951219512,circulatory,Piero Hincapie (Ecuador)
Mathí­as Olivera,Uruguay,51,0.30329239522066886,15.467912156254112,3.450980392156863,0.9743702042512952,18.67728133155079,0.09803921568627451,0.0,0.11764705882352941,0.0,0.17647058823529413,0.27450980392156865,0.5490196078431373,0.0,line_breaking,Mathí­as Olivera (Uruguay)
Francisco Calvo,Costa Rica,69,0.22358397279905703,15.427294123134935,1.5217391304347827,1.3341588732437117,26.73107736758893,0.014492753623188406,0.0,0.014492753623188406,0.0,0.15942028985507245,0.36231884057971014,0.34782608695652173,0.13043478260869565,destabilising,Francisco Calvo (Costa Rica)
Weston McKennie,United States,78,0.19760285800042093,15.413022924032832,-0.6666666666666666,1.6985062069962054,40.170346480769226,0.0641025641025641,0.0,0.10256410256410256,0.02564102564102564,0.11538461538461539,0.46153846153846156,0.19230769230769232,0.23076923076923078,destabilising,Weston McKennie (United States)
Abdou Diallo,Senegal,117,0.13070774859895193,15.292806586077376,0.7350427350427351,2.1268975749314674,24.85541145454546,0.08547008547008547,0.008547008547008548,0.02564102564102564,0.008547008547008548,0.18803418803418803,0.3504273504273504,0.2564102564102564,0.20512820512820512,destabilising,Abdou Diallo (Senegal)
Nicolas N'Koulou,Cameroon,74,0.2039030035153457,15.088822260135583,1.0135135135135136,3.5707005409756065,16.180525589066306,0.04054054054054054,0.20270270270270271,0.02702702702702703,0.013513513513513514,0.24324324324324326,0.16216216216216217,0.1891891891891892,0.40540540540540543,space_expanding,Nicolas N'Koulou (Cameroon)
Bernardo Silva,Portugal,193,0.07809124971630094,15.071611195246081,-0.7875647668393783,2.5002289439749648,25.636209346914736,0.06217616580310881,0.015544041450777202,0.05699481865284974,0.0,0.09844559585492228,0.35751295336787564,0.15025906735751296,0.39378238341968913,space_expanding,Bernardo Silva (Portugal)
Otavio,Portugal,70,0.213352836181481,14.934698532703669,-1.1,1.8727849016690556,40.03646933506494,0.07142857142857142,0.014285714285714285,0.014285714285714285,0.0,0.04285714285714286,0.6,0.15714285714285714,0.2,destabilising,Otavio (Portugal)
