passer_name,receiver_name,team_name,duo_passes,duo_mean_tiv,duo_total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,passer_n_passes,passer_mean_tiv,passer_total_tiv,delta_tiv,duo_label,is_stable_duo
Ramin Rezaeian,Sardar Azmoun,Iran,2,0.9658036316082734,1.9316072632165469,6.5,0.19423328184866465,102.77474156818178,0.5,0.0,0.0,0.0,47,-0.07704357077367203,-3.6210478263625854,1.0428472023819455,Ramin Rezaeian → Sardar Azmoun,False
Thomas Meunier,Dries Mertens,Belgium,1,1.3034564004658264,1.3034564004658264,6.0,1.0536567014186569,161.12699068181828,0.0,0.0,0.0,0.0,63,0.2606870549249235,16.42328446027018,1.0427693455409028,Thomas Meunier → Dries Mertens,False
Ibrahima Konaté,Olivier Giroud,France,2,1.0252498558010759,2.0504997116021517,6.0,1.7220775295410926,73.26024502272729,0.0,0.0,0.5,0.0,179,-0.015104968905650102,-2.703789434111368,1.040354824706726,Ibrahima Konaté → Olivier Giroud,False
Marcos Llorente,Gavi,Spain,2,0.693816886770728,1.387633773541456,4.5,1.5550082199700053,16.85472129545462,0.0,0.0,0.0,0.0,71,-0.3429946285374723,-24.352618626160535,1.0368115153082003,Marcos Llorente → Gavi,False
Ui-jo Hwang,In-beom Hwang,South Korea,1,0.4274649141379011,0.4274649141379011,-3.0,3.1776751318543677,55.12307081818202,0.0,0.0,0.0,0.0,4,-0.6080108022222971,-2.4320432088891883,1.0354757163601982,Ui-jo Hwang → In-beom Hwang,False
Timothy Castagne,Michy Batshuayi,Belgium,2,1.161479371731907,2.322958743463814,7.0,1.3258224973885686,44.446447863636266,0.0,0.0,0.0,0.0,140,0.12641018350886443,17.69742569124102,1.0350691882230425,Timothy Castagne → Michy Batshuayi,False
Leandro Paredes,Ángel Di María,Argentina,1,0.980557432235436,0.980557432235436,9.0,0.9839913288131544,8.89442550000011,0.0,0.0,0.0,0.0,140,-0.05356737308857266,-7.499432232400172,1.0341248053240086,Leandro Paredes → Ángel Di María,False
Jackson Irvine,Mitchell Duke,Australia,2,0.9162602323965752,1.8325204647931503,3.0,2.531306200275713,68.00909979545446,0.5,0.0,0.5,0.0,68,-0.1128996723600218,-7.677177720481482,1.029159904756597,Jackson Irvine → Mitchell Duke,False
Daizen Maeda,Daichi Kamada,Japan,1,1.0507260561715972,1.0507260561715972,-1.0,6.0105126052424,107.0092534999996,0.0,0.0,0.0,0.0,6,0.021746585625532847,0.13047951375319708,1.0289794705460644,Daizen Maeda → Daichi Kamada,False
Shogo Taniguchi,Daizen Maeda,Japan,2,0.9628478431767162,1.9256956863534325,6.0,0.8556934857432088,54.85563934090878,0.5,0.0,0.0,0.0,68,-0.059231713523112704,-4.027756519571664,1.0220795566998289,Shogo Taniguchi → Daizen Maeda,False
Roozbeh Cheshmi,Alireza Jahanbakhsh,Iran,1,1.4009490687838726,1.4009490687838726,6.0,4.269789693990958,31.047125909091093,0.0,0.0,0.0,0.0,7,0.37919026918204934,2.6543318842743453,1.0217587996018231,Roozbeh Cheshmi → Alireza Jahanbakhsh,False
Memphis Depay,Steven Bergwijn,Netherlands,1,0.8095799222810478,0.8095799222810478,1.0,1.8127514148174353,102.67734513636358,0.0,0.0,1.0,0.0,60,-0.20108357480212197,-12.065014488127318,1.0106634970831698,Memphis Depay → Steven Bergwijn,False
Hee-chan Hwang,Heung-min Son,South Korea,3,0.27502157051208787,0.8250647115362636,1.3333333333333333,2.0254463923003745,38.21347468181815,0.3333333333333333,0.0,0.3333333333333333,0.0,35,-0.734778889158395,-25.717261120543824,1.0098004596704828,Hee-chan Hwang → Heung-min Son,False
Rodrigo Bentancur,Matias Vecino,Uruguay,4,0.707727059826919,2.830908239307676,3.25,1.5468334841059512,138.11907789772752,0.0,0.0,0.0,0.0,117,-0.2990056338991614,-34.98365916620188,1.0067326937260803,Rodrigo Bentancur → Matias Vecino,False
Richarlison,Alisson,Brazil,1,0.8071805311490156,0.8071805311490156,-6.0,12.143323252833005,104.1216939090908,0.0,0.0,0.0,0.0,28,-0.19892296475685947,-5.569843013192065,1.006103495905875,Richarlison → Alisson,False
Nader Ghandri,Anis Slimane,Tunisia,1,1.3977387084739248,1.3977387084739248,6.0,2.627015498096753,70.24100236363694,0.0,0.0,0.0,0.0,27,0.39618549194204367,10.69700828243518,1.0015532165318812,Nader Ghandri → Anis Slimane,False
Edimilson Fernandes,Breel Embolo,Switzerland,1,0.4975227466716575,0.4975227466716575,4.0,0.7055289840179797,17.289195045454278,0.0,0.0,0.0,0.0,46,-0.5031564624074686,-23.145197270743555,1.000679209079126,Edimilson Fernandes → Breel Embolo,False
Memphis Depay,Virgil van Dijk,Netherlands,1,0.7971017957017679,0.7971017957017679,2.0,1.3244081321634693,90.69693131818178,0.0,0.0,0.0,0.0,60,-0.20108357480212197,-12.065014488127318,0.9981853705038899,Memphis Depay → Virgil van Dijk,False
Haji Wright,Timothy Weah,United States,1,0.2906590146343786,0.2906590146343786,-1.0,1.5658357189704282,32.77969681818188,0.0,0.0,0.0,0.0,16,-0.7050205278928134,-11.280328446285015,0.995679542527192,Haji Wright → Timothy Weah,False
Raphaël Guerreiro,Goncalo Ramos,Portugal,2,0.9296191504585203,1.8592383009170406,5.0,0.9809973722204285,65.18224622727303,0.0,0.0,0.5,0.0,110,-0.06253905387103305,-6.879295925813635,0.9921582043295534,Raphaël Guerreiro → Goncalo Ramos,False
Hasan Al-Haydos,Almoez Ali,Qatar,1,1.3232205687404317,1.3232205687404317,3.0,4.913554947512263,74.3573320454549,0.0,0.0,0.0,0.0,35,0.33321158775768617,11.662405571519015,0.9900089809827455,Hasan Al-Haydos → Almoez Ali,False
Jonathan Osorio,Cyle Larin,Canada,1,0.793429734089458,0.793429734089458,3.0,1.2158808125106848,60.77846050000032,0.0,0.0,0.0,0.0,36,-0.1947956933560136,-7.012644960816489,0.9882254274454716,Jonathan Osorio → Cyle Larin,False
Homam Ahmed,Almoez Ali,Qatar,1,0.6594036063506196,0.6594036063506196,5.0,0.4124929424385081,33.71639559090891,0.0,0.0,0.0,0.0,42,-0.3285353696159787,-13.798485523871104,0.9879389759665982,Homam Ahmed → Almoez Ali,False
